date,weight,height,waist,chest,hips,body_fat
2025-01-01,85.0,175.0,96.0,106.0,102.0,26.0
2025-02-01,83.5,175.0,94.0,105.0,101.0,25.0
2025-03-01,82.0,175.0,92.0,104.0,100.0,24.0
2025-04-01,80.5,175.0,90.0,103.0,99.0,23.0
2025-05-01,79.0,175.0,88.0,102.0,98.0,22.0
2025-06-01,77.5,175.0,86.0,101.0,97.0,21.0
2025-07-01,76.0,175.0,84.0,100.0,96.0,20.0
2025-08-01,75.0,175.0,83.0,99.0,95.0,19.0
2026-06-13,85.0,163.0,0.0,0.0,0.0,0.0
2026-06-13,85.0,163.0,38.0,0.0,0.0,0.0
2026-06-13,85.0,163.0,38.0,38.0,0.0,0.0
